federal_account_code,account_title,short_account_title,agency_identifier,main_account_code,managing_agency,managing_agency_acronym,parent_agency_toptier_code,bureau_name,bureau_slug,account_id,budgetary_resources_fy2026
070-0407,"Procurement, Construction, and Improvements, United States Citizenship and Immigration Services, Homeland Security","Procurement, Construction, and Improvements, United States Citizenship and Immigration Services, Homeland Security",070,0407,Department of Homeland Security,DHS,070,Citizenship and Immigration Services,citizenship-and-immigration-services,5182,1520448.57
070-0408,"Federal Assistance, U.S. Citizenship and Immigration Services, Homeland Security","Federal Assistance, U.S. Citizenship and Immigration Services, Homeland Security",070,0408,Department of Homeland Security,DHS,070,Citizenship and Immigration Services,citizenship-and-immigration-services,6286,17739891.33
070-0410,"Procurement, Construction, and Improvements, Transportation Security Administration, Homeland Security","Procurement, Construction, and Improvements, Transportation Security Administration, Homeland Security",070,0410,Department of Homeland Security,DHS,070,Transportation Security Administration,transportation-security-administration,5183,344907436.93
070-0411,"Federal Assistance, Countering Weapons of Mass Destruction Office, Homeland Security","Federal Assistance, Countering Weapons of Mass Destruction Office, Homeland Security",070,0411,Department of Homeland Security,DHS,070,Countering Weapons of Mass Destruction Office,countering-weapons-of-mass-destruction-office,5184,161402365.87
070-0412,"Procurement, Construction, and Improvements, Cybersecurity and Infrastructure Security Agency, Homeland Security","Procurement, Construction, and Improvements, Cybersecurity and Infrastructure Security Agency, Homeland Security",070,0412,Department of Homeland Security,DHS,070,Cybersecurity and Infrastructure Security Agency,cybersecurity-and-infrastructure-security-agency,5185,319784271.52
070-0413,"Federal Assistance, Federal Emergency Management Agency, Homeland Security","Federal Assistance, Federal Emergency Management Agency, Homeland Security",070,0413,Department of Homeland Security,DHS,070,Federal Emergency Management Agency,federal-emergency-management-agency,5186,7753921235.02
070-0414,"Procurement, Construction, and Improvements, Federal Emergency Management Agency, Homeland Security","Procurement, Construction, and Improvements, Federal Emergency Management Agency, Homeland Security",070,0414,Department of Homeland Security,DHS,070,Federal Emergency Management Agency,federal-emergency-management-agency,5187,242284911.96
070-0415,"Procurement, Construction, and Improvements, Science and Technology Directorate, Homeland Security","Procurement, Construction, and Improvements, Science and Technology Directorate, Homeland Security",070,0415,Department of Homeland Security,DHS,070,Science and Technology,science-and-technology,5188,275119927.03
070-0416,"Federal Assistance, Office of the Secretary and Executive Management, Departmental Management, Intelligence, Situational Awareness, and Oversight, Homeland Security","Federal Assistance, Office of the Secretary and Executive Management, Departmental Management, Intelligence, Situational Awareness, and Oversight, Homeland Security",070,0416,Department of Homeland Security,DHS,070,Office of the Secretary and Executive Management,office-of-the-secretary-and-executive-management,6309,11028600.0
070-0500,"Flood Hazard Mapping and Risk Analysis Program, Federal Emergency Management Agency, Homeland Security","Flood Hazard Mapping and Risk Analysis Program, Federal Emergency Management Agency, Homeland Security",070,0500,Department of Homeland Security,DHS,070,Federal Emergency Management Agency,federal-emergency-management-agency,5189,3657535.81
070-0503,"Customs and Border Protection, USCS, Homeland Security","Customs and Border Protection, USCS, Homeland Security",070,0503,Department of Homeland Security,DHS,070,U.S. Customs and Border Protection,us-customs-and-border-protection,5190,50547.21
070-0504,"Immigration and Customs Enforcement, Border and Transportation Security, Homeland Security","Immigration and Customs Enforcement, Border and Transportation Security, Homeland Security",070,0504,Department of Homeland Security,DHS,070,U.S. Immigration and Customs Enforcement,us-immigration-and-customs-enforcement,5191,1607511.36
070-0505,"Refunds and Drawbacks, United States Customs Service (Indefinite), Treasury","Refunds and Drawbacks, United States Customs Service (Indefinite), Treasury",070,0505,Department of Homeland Security,DHS,070,"Security, Enforcement, and Investigations",security-enforcement-and-investigations,5192,205752000000.0
070-0508,"Expenses, Transportation Security Administration, Border and Transportation Security, Homeland Security","Expenses, Transportation Security Administration, Border and Transportation Security, Homeland Security",070,0508,Department of Homeland Security,DHS,070,Transportation Security Administration,transportation-security-administration,5193,7167.7
070-0509,"Operations and Support, Federal Law Enforcement Training Centers, Homeland Security","Operations and Support, Federal Law Enforcement Training Centers, Homeland Security",070,0509,Department of Homeland Security,DHS,070,Federal Law Enforcement Training Centers,federal-law-enforcement-training-centers,5194,931273575.66
070-0510,"Procurement, Construction, and Improvements, Federal Law Enforcement Training Centers, Homeland Security","Procurement, Construction, and Improvements, Federal Law Enforcement Training Centers, Homeland Security",070,0510,Department of Homeland Security,DHS,070,Federal Law Enforcement Training Centers,federal-law-enforcement-training-centers,5195,509138450.61
070-0511,"Office of Domestic Preparedness, Federal Emergency Management Agency, Homeland Security","Office of Domestic Preparedness, Federal Emergency Management Agency, Homeland Security",070,0511,Department of Homeland Security,DHS,070,Federal Emergency Management Agency,federal-emergency-management-agency,5196,
070-0521,"Office of Biometric Identity Management, National Protection and Programs Directorate, Homeland Security","Office of Biometric Identity Management, National Protection and Programs Directorate, Homeland Security",070,0521,Department of Homeland Security,DHS,070,Management Directorate,management-directorate,5197,515498.13
070-0530,"Operations and Support, U.S. Customs and Border Protection, Homeland Security","Operations and Support, U.S. Customs and Border Protection, Homeland Security",070,0530,Department of Homeland Security,DHS,070,U.S. Customs and Border Protection,us-customs-and-border-protection,5198,26956813639.39
070-0531,"Automation Modernization, U.S. Customs and Border Protection, Homeland Security","Automation Modernization, U.S. Customs and Border Protection, Homeland Security",070,0531,Department of Homeland Security,DHS,070,U.S. Customs and Border Protection,us-customs-and-border-protection,5199,437404.91
070-0532,"Procurement, Construction, and Improvements, U.S. Customs and Border Protection, Homeland Security","Procurement, Construction, and Improvements, U.S. Customs and Border Protection, Homeland Security",070,0532,Department of Homeland Security,DHS,070,U.S. Customs and Border Protection,us-customs-and-border-protection,5200,53321575264.41
070-0533,"Border Security Fencing, Infrastructure, and Technology, U.S. Customs and Border Protection, Homeland Security","Border Security Fencing, Infrastructure, and Technology, U.S. Customs and Border Protection, Homeland Security",070,0533,Department of Homeland Security,DHS,070,U.S. Customs and Border Protection,us-customs-and-border-protection,5201,6519791.13
070-0540,"Operations and Support, U.S. Immigration and Customs Enforcement, Homeland Security","Operations and Support, U.S. Immigration and Customs Enforcement, Homeland Security",070,0540,Department of Homeland Security,DHS,070,U.S. Immigration and Customs Enforcement,us-immigration-and-customs-enforcement,5205,63410333608.01
070-0541,"Federal Air Marshals, Transportation Security Administration,  Homeland Security","Federal Air Marshals, Transportation Security Administration,  Homeland Security",070,0541,Department of Homeland Security,DHS,070,Transportation Security Administration,transportation-security-administration,5206,67597.52
070-0542,"Federal Protective Service, Management Directorate, Departmental Management, Intelligence, Situational Awareness, and Oversight, Homeland Security","Federal Protective Service, Management Directorate, Departmental Management, Intelligence, Situational Awareness, and Oversight, Homeland Security",070,0542,Department of Homeland Security,DHS,070,Management Directorate,management-directorate,5207,3702388283.83
